# Star Catalog - Brightest stars visible to naked eye
# Format: id,ra,dec,magnitude,name,spectral_type
# RA in degrees (0-360), Dec in degrees (-90 to +90)
# Magnitude: apparent visual magnitude (smaller = brighter)
# Spectral types: O, B, A, F, G, K, M
# Primary named stars
1,101.287,-16.716,-1.46,Sirius,A1V
2,95.988,-52.696,-0.74,Canopus,A9II
3,213.915,19.182,-0.05,Arcturus,K1III
4,279.235,38.784,0.03,Vega,A0V
5,79.172,45.998,0.08,Capella,G3III
6,78.634,-8.202,0.13,Rigel,B8Ia
7,114.825,5.225,0.34,Procyon,F5IV
8,88.793,7.407,0.42,Betelgeuse,M1Ia
9,297.696,8.868,0.76,Altair,A7V
10,68.980,16.509,0.85,Aldebaran,K5III
11,201.298,-11.161,0.97,Spica,B1III
12,247.352,-26.432,0.96,Antares,M1Ib
13,116.329,28.026,1.14,Pollux,K0III
14,344.413,-29.622,1.16,Fomalhaut,A4V
15,310.358,45.280,1.25,Deneb,A2Ia
16,152.093,11.967,1.35,Regulus,B7V
17,37.955,89.264,1.98,Polaris,F7Ib
# Orion constellation
18,88.596,-1.942,1.64,Bellatrix,B2III
19,84.053,-0.299,1.69,Mintaka,O9II
20,83.002,-1.202,1.70,Alnilam,B0Ia
21,81.283,-1.943,2.09,Alnitak,O9Ib
22,86.939,-9.670,2.06,Saiph,B0Ia
# Ursa Major (Big Dipper)
23,200.981,54.925,1.77,Alioth,A1III
24,165.932,61.751,1.79,Dubhe,K0III
25,178.458,56.382,2.37,Merak,A1V
26,193.507,53.695,2.44,Phecda,A0V
27,183.856,57.033,2.37,Megrez,A3V
28,206.885,49.313,1.86,Mizar,A2V
29,219.921,49.313,1.86,Alkaid,B3V
# Cassiopeia
30,14.177,60.717,2.23,Schedar,K0II
31,10.127,56.537,2.27,Caph,F2III
32,2.295,59.150,2.68,Gamma Cas,B0IV
33,28.599,63.670,2.47,Ruchbah,A5III
34,56.871,60.717,2.15,Segin,B3III
# Cygnus
35,305.557,40.257,2.23,Sadr,F8Ib
36,311.553,33.970,2.20,Gienah Cyg,A0III
37,292.680,27.960,3.08,Albireo,K3II
# Scorpius
38,252.166,-22.621,2.29,Wei,K2III
39,264.330,-37.104,1.63,Shaula,B2IV
40,241.359,-19.806,2.32,Dschubba,B0V
41,248.971,-28.216,2.56,Acrab,B1V
# Leo
42,154.993,19.842,1.98,Algieba,K1III
43,168.527,20.523,2.14,Denebola,A3V
44,177.265,14.572,2.56,Zosma,A4V
# Gemini
45,113.650,31.888,1.58,Castor,A1V
46,95.675,22.510,1.93,Alhena,A1IV
# Southern stars
47,186.650,-60.837,0.01,Alpha Cen,G2V
48,219.902,-60.373,0.61,Hadar,B1III
49,104.656,-28.972,1.83,Wezen,F8Ia
50,109.286,-26.393,1.50,Adhara,B2II
51,111.024,-29.303,2.45,Aludra,B5Ia
52,95.078,-17.956,1.98,Mirzam,B1II
53,191.930,-59.689,1.25,Mimosa,B1IV
54,186.650,-63.099,1.28,Acrux,B0IV
55,125.628,-59.509,2.21,Aspidiske,A9Ib
56,138.300,-69.717,1.86,Avior,K3III
57,122.383,-47.337,1.75,Regor,WC8
58,136.999,-43.433,2.21,Suhail,K4Ib
59,24.429,-57.237,0.46,Achernar,B6V
# Taurus
60,84.411,21.142,2.87,Tianguan,B7III
61,81.573,28.608,1.65,Elnath,B7III
# Sagittarius
62,283.816,-26.297,1.85,Nunki,B2V
63,276.043,-34.384,2.70,Kaus Media,K2III
64,275.249,-29.828,2.99,Kaus Borealis,K0III
65,263.402,-34.384,1.85,Kaus Australis,B9III
# Pegasus / Andromeda
66,326.046,-5.571,2.42,Enif,K2Ib
67,346.190,15.205,2.49,Markab,A0IV
68,2.097,29.091,2.06,Alpheratz,B8IV
69,17.433,35.621,2.06,Mirach,M0III
70,30.975,42.330,2.26,Almach,K3II
# Perseus
71,51.081,49.861,1.79,Mirfak,F5Ib
72,47.042,40.955,2.12,Algol,B8V
# Aquarius
73,322.889,-5.571,2.87,Sadalsuud,G0Ib
74,331.446,-0.320,2.96,Sadalmelik,G2Ib
# Corona Borealis
75,233.672,26.715,2.23,Alphecca,A0V
# Aquila
76,286.353,-4.883,2.72,Tarazed,K3II
# Lyra
77,283.626,33.363,3.25,Sheliak,A8V
78,284.736,32.690,3.24,Sulafat,B9III
# Bootes
79,225.485,27.074,2.68,Nekkar,G8III
80,218.020,38.308,2.35,Muphrid,G0IV
